file_path,action
./Train_Data\Shake_Hand\Video_Test_26.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_27 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_27 (3).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_27.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_28 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_28.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_29 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_29.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_30 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_30.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_31.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_32.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_33.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_34.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_35.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_36.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_37.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_4 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_4 (3).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_4 (4).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_4.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_5 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_5 (3).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_5 (4).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_5.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_6 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_6 (3).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_6 (4).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_6.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_7 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_7 (3).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_7 (4).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_7.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_8 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_8 (3).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_8 (4).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_8.mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_9 (2).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_9 (3).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_9 (4).mp4,Shake_Hand
./Train_Data\Shake_Hand\Video_Test_9.mp4,Shake_Hand
